VDE,"Energy ETF Vanguard",41.45,0.88,+2.17%,37,29.7%,70.3%,0.42307692307692,"11:10 ET"
FXB,"British Pound Sterling Trust Currencyshares Inve",124.31,1.01,+0.82%,36,38.9%,61.1%,0.63636363636364,"11:05 ET"
MGK,"Megacap 300 Growth Index ETF Vanguard",184.13,2.6,+1.43%,36,2.8%,97.2%,0.028571428571429,"11:24 ET"
WOOD,"Global Timber & Forestry Ishares ETF",65.12,1.44,+2.26%,35,22.9%,77.1%,0.2962962962963,09/28/20
VB,"Smallcap ETF Vanguard",154.24,3.41,+2.26%,35,88.6%,11.4%,7.75,"11:09 ET"
TMV,"20+ Year Trsy Bear 3X Direxion",49.43,0.33,+0.67%,34,32.4%,67.6%,0.47826086956522,"11:18 ET"
BLCN,"Reality Shares Nasdaq Nextgen Economy ETF",34.21,0.58,+1.72%,33,18.2%,81.8%,0.22222222222222,09/28/20
BND,"Total Bond Market ETF Vanguard",88.28,0.060000000000002,+0.07%,32,53.1%,46.9%,1.1333333333333,"11:25 ET"
EDZ,"Emrg Mkts Bear 3X Direxion",19.21,-0.58,-2.93%,32,12.5%,87.5%,0.14285714285714,"11:25 ET"
BJK,"Gaming ETF Vaneck",39.31,0.39,+1.00%,31,0.0%,100.0%,0,09/28/20
ARKG,"Ark Genomic Revolution ETF",62.87,0.52,+0.83%,31,25.8%,74.2%,0.34782608695652,"11:26 ET"
VT,"Total World Stock Index ETF Vanguard",80.41,1.11,+1.40%,30,3.3%,96.7%,0.03448275862069,"11:26 ET"
USIG,"Broad USD Investment Gr. Corp Bond Ishares ETF",60.79,0.12,+0.20%,30,100.0%,0.0%,0,"11:22 ET"
ZQQ.TO,"BMO Nasdaq 100 Hedged To CAD Index ETF",82.22,1,+1.23%,29,3.4%,96.6%,0.035714285714286,"11:05 ET"
THCX,"Spinnaker ETF Series The Cannabis ETF",8.25,0.039999999999999,+0.49%,28,0.0%,100.0%,0,09/28/20
SGOL,"Physical Swiss Gold",18,0.09,+0.50%,27,3.7%,96.3%,0.038461538461538,"11:23 ET"
EWA,"Australia Ishares MSCI ETF",20,0.12,+0.60%,27,70.4%,29.6%,2.375,"11:26 ET"
ONLN,"Proshares Online Retail ETF",62.9,1.27,+2.06%,26,0.0%,100.0%,0,"11:11 ET"
SRS,"Ultrashort Real Estate Proshares",14.65,-0.63,-4.12%,26,0.0%,100.0%,0,"11:26 ET"
SPDN,"S&P 500 Bear 1X Direxion",20.93,-0.29,-1.37%,25,0.0%,100.0%,0,"10:59 ET"
