FXY,"Japanese Yen Trust Currencyshares Invesco",89.41,-0.030000000000001,-0.03%,478,51.9%,48.1%,1.0782608695652,08/21/20
SKYY,"Cloud Computing ETF FT",78.17,-0.46,-0.59%,474,38.2%,61.8%,0.61774744027304,08/21/20
EWA,"Australia Ishares MSCI ETF",20.6,-0.21,-1.01%,459,56.6%,43.4%,1.3065326633166,08/21/20
SPLV,"S&P 500 Low Vol Invesco ETF",54.11,0.07,+0.13%,453,54.1%,45.9%,1.1778846153846,08/21/20
YANG,"FTSE China Bear 3X Direxion",21.74,-0.55,-2.47%,452,10.8%,89.2%,0.12158808933002,08/21/20
KBE,"S&P Bank ETF SPDR",31.14,-0.22,-0.70%,436,22.5%,77.5%,0.28994082840237,08/21/20
DBO,"DB Oil Fund Invesco",7.6,-0.1,-1.30%,427,1.2%,98.8%,0.011848341232227,08/21/20
IWO,"Russell 2000 Growth Ishares ETF",225.63,-1.48,-0.65%,404,28.0%,72.0%,0.38831615120275,08/21/20
ROM,"Ultra Technology Proshares",59.38,1.15,+1.97%,404,8.4%,91.6%,0.091891891891892,08/21/20
CLOU,"Global X Cloud Computing ETF",22.57,-0.22,-0.97%,399,29.8%,70.2%,0.425,08/21/20
SGOL,"Physical Swiss Gold",18.64,-0.13,-0.69%,397,20.7%,79.3%,0.26031746031746,08/21/20
EUO,"Ultrashort Euro Proshares",24.21,0.27,+1.13%,390,24.9%,75.1%,0.33105802047782,08/21/20
EDC,"Emrg Mkts Bull 3X Direxion",59.4,0.99,+1.69%,390,12.3%,87.7%,0.14035087719298,08/21/20
DRV,"Real Estate Bear 3X Direxion",14.17,-0.040000000000001,-0.28%,388,19.1%,80.9%,0.23566878980892,08/21/20
TYD,"7-10 Year Treasury Bull 3X Direxion",68.68,0.32000000000001,+0.47%,370,54.9%,45.1%,1.2155688622754,08/21/20
GLL,"Ultrashort Gold Proshares",30.71,0.45,+1.49%,365,64.7%,35.3%,1.8294573643411,08/21/20
URTY,"Ultrapro Russell 2000 Proshares",40.19,-0.89,-2.17%,354,41.8%,58.2%,0.71844660194175,08/21/20
ARKW,"Ark Web X.0 ETF",105.04,-0.19,-0.18%,350,12.0%,88.0%,0.13636363636364,08/21/20
SOYB,"Teucrium Soybean",14.41,-0.050000000000001,-0.35%,348,0.9%,99.1%,0.008695652173913,08/21/20
DDM,"Ultra Dow 30 Proshares",47.42,0.69,+1.48%,347,6.3%,93.7%,0.067692307692308,08/21/20
SPHD,"S&P 500 High Dividend Low Vol Invesco ETF",33.9,-0.060000000000002,-0.18%,347,36.9%,63.1%,0.58447488584475,08/21/20
SDIV,"G-X Superdividend ETF",11.34,-0.050000000000001,-0.44%,340,90.0%,10.0%,9,08/21/20
CWEB,"CSI China Internet Idx Bull 2X Direxion",49.76,0.44,+0.89%,340,0.0%,100.0%,0,08/21/20
SCHG,"Schwab US Largecap Growth ETF",115.42,0.71000000000001,+0.62%,339,0.0%,100.0%,0,08/21/20
EUFN,"Europe Financials Ishares MSCI ETF",14.89,-0.16,-1.06%,336,94.3%,5.7%,16.684210526316,08/21/20
FXA,"Australian Dollar Trust Currencyshares Invesco",71.5,-0.37,-0.51%,335,30.4%,69.6%,0.43776824034335,08/21/20
VGK,"Europe ETF FTSE Vanguard",53.8,-0.42,-0.77%,334,6.9%,93.1%,0.07395498392283,08/21/20
BRZU,"Brazil Bull 3X Direxion",77.28,-1.5,-1.90%,334,61.7%,38.3%,1.609375,08/21/20
CHAU,"CSI 300 China A 2X Direxion",30.33,-0.060000000000002,-0.20%,332,3.6%,96.4%,0.0375,08/21/20
VGT,"Information Technology ETF Vanguard",313.59,3.23,+1.04%,330,27.6%,72.4%,0.38075313807531,08/21/20
IYT,"Transportation Average Ishares ETF",193.92,1.02,+0.53%,314,10.2%,89.8%,0.11347517730496,08/21/20
SDY,"S&P Dividend SPDR",95.47,-0.21000000000001,-0.22%,314,27.7%,72.3%,0.38325991189427,08/21/20
DRN,"Real Estate Bull 3X Direxion",10.76,0.029999999999999,+0.28%,310,10.0%,90.0%,0.11111111111111,08/21/20
URA,"G-X Uranium ETF",11.76,-0.23,-1.92%,298,32.6%,67.4%,0.48258706467662,08/21/20
JNK,"High Yield Bond ETF SPDR",105.13,-0.02000000000001,-0.02%,298,78.5%,21.5%,3.65625,08/21/20
RUSL,"Russia Bull 3X Direxion",18.19,-0.49,-2.62%,292,16.1%,83.9%,0.19183673469388,08/21/20
TMV,"20+ Year Trsy Bear 3X Direxion",48.6,-0.88,-1.78%,276,54.7%,45.3%,1.208,08/21/20
RWM,"Russell 2000 Short Proshares",33.27,0.25,+0.76%,276,18.1%,81.9%,0.2212389380531,08/21/20
MBB,"MBS Ishares ETF",110.67,-0.03,-0.03%,272,97.4%,2.6%,37.857142857143,08/21/20
FDN,"DJ Internet Index First Trust",188.06,-0.66,-0.35%,271,20.3%,79.7%,0.25462962962963,08/21/20
BIB,"Ultra Nasdaq Biotech Proshares",67.52,-0.92,-1.34%,271,60.9%,39.1%,1.5566037735849,08/21/20
VBR,"Smallcap Value ETF Vanguard",114.12,-0.53999999999999,-0.47%,268,91.0%,9.0%,10.166666666667,08/21/20
EZA,"South Africa Ishares MSCI ETF",37.59,0.71,+1.93%,267,82.4%,17.6%,4.6808510638298,08/21/20
ARKG,"Ark Genomic Revolution Multi-Sector ETF",62.97,0.51,+0.82%,267,34.1%,65.9%,0.51704545454545,08/21/20
EWH,"Hong Kong Ishares MSCI ETF",22.27,0.3,+1.37%,266,59.8%,40.2%,1.4859813084112,08/21/20
ITA,"US Aerospace & Defense Ishares ETF",164.12,-1.3,-0.79%,264,24.6%,75.4%,0.32663316582915,08/21/20
BOTZ,"G-X Robotics & Artificial Intel Thmtc ETF",26.8,-0.12,-0.45%,254,22.0%,78.0%,0.28282828282828,08/21/20
DOG,"Dow 30 Short Proshares",43.82,-0.32,-0.72%,247,21.5%,78.5%,0.27319587628866,08/21/20
YOLO,"Advisorshares Pure Cannabis ETF",11.95,-0.3,-2.45%,235,26.4%,73.6%,0.35838150289017,08/21/20
